Measurment,Belief (open)
close,0.11627383191252154
close,0.033574488572902274
close,0.023384108181499004
close,0.022234528790418293
close,0.022106180778334948
close,0.022091867643233617
close,0.02209027167552924
close,0.0220900937217771
close,0.02209007387959184
close,0.02209007166715046
open,0.8398164822014954
close,0.37681382470751834
close,0.08045193588497579
close,0.028961914729157132
close,0.022861108973565927
close,0.02217610381329688
close,0.022099664917996215
close,0.022091141095467188
close,0.02209019066386283
open,0.8398165648287457
close,0.3768139641533884
close,0.08045196973829438
close,0.028961918938431013
close,0.022861109448824017
close,0.022176103866363383
close,0.022099664923914162
close,0.02209114109612706
close,0.0220901906639364
close,0.022090084688828063
close,0.022090072872400838
close,0.02209007155484675
close,0.022090071407936968
close,0.022090071391556252
close,0.022090071389729765
close,0.022090071389526112
open,0.8398164820087225
close,0.37681382438218525
close,0.08045193580599456
close,0.02896191471933672
close,0.02286110897245713
close,0.022176103813173077
close,0.022099664917982417
close,0.022091141095465644
open,0.8398172247736312
open,0.9929248323586725
close,0.9400054500441458
close,0.6386111125239704
open,0.9805407399866395
open,0.999236463551123
open,0.9999704785024557
